,participant_id,bp_intero_threshold,bp_extero_threshold,bp_intero_slope,sn_intero_threshold,sn_extero_threshold,sn_intero_slope,sn_extero_slope,wu_sensitivity,wu_mu_cardiac_prior,wu_sigma_cardiac_prior,wu_pi_cardiac_belief
472,sub-0586,-21.216,-1.011,7.376,-21.224,-1.008,6.278,3.333,0.347,41.856,1.946,1.297
473,sub-0587,-2.888,-4.244,15.162,-2.913,-4.241,11.168,8.79,0.411,61.197,4.711,3.285
474,sub-0588,-18.007,-2.079,11.396,-18.025,-2.098,10.924,2.547,0.243,42.72,2.833,0.429
475,sub-0590,1.76,-2.949,7.355,1.697,-2.933,4.546,5.243,0.956,86.541,14.25,0.564
476,sub-0591,-8.319,0.496,14.403,-8.318,0.512,13.168,5.105,0.7,45.627,6.976,0.214
477,sub-0592,-13.51,2.027,17.341,-13.585,2.001,16.649,4.303,0.166,72.564,2.446,3.105
478,sub-0593,0.907,4.057,8.555,0.926,4.076,7.812,3.084,0.52,83.646,7.541,1.72
479,sub-0594,2.436,-0.13,14.061,2.369,-0.076,9.582,8.367,0.92,91.554,14.083,0.675
480,sub-0596,27.777,7.532,27.214,27.595,7.427,26.909,7.37,0.573,93.212,21.038,0.008
481,sub-0597,16.491,5.052,10.597,16.515,5.08,7.273,6.791,0.204,105.934,1.12,5.198
482,sub-0598,-9.646,1.244,10.145,-9.587,1.232,9.43,3.275,0.316,63.979,2.649,1.446
483,sub-0599,5.321,0.322,7.564,5.283,0.299,7.17,2.083,0.298,72.524,2.385,1.468
484,sub-0600,3.905,0.496,14.862,3.995,0.447,13.898,4.215,0.806,96.787,13.008,0.138
485,sub-0601,3.794,2.385,10.391,3.77,2.441,8.95,4.452,0.835,97.916,11.385,0.447
486,sub-0602,-5.776,-3.094,15.502,-5.825,-3.115,14.224,5.203,0.866,52.967,13.699,0.113
487,sub-0604,-0.763,1.413,10.147,-0.739,1.354,7.302,6.025,0.251,67.516,2.607,5.14
488,sub-0605,-0.63,1.756,5.269,-0.596,1.762,3.075,3.92,0.987,79.842,16.209,0.596
489,sub-0606,-4.695,-0.528,10.318,-4.704,-0.506,7.098,6.507,0.506,66.368,4.264,2.303
490,sub-0607,-9.299,-1.827,14.552,-9.325,-1.827,13.934,3.828,0.346,54.602,3.826,0.47
491,sub-0608,-21.095,2.267,8.868,-21.107,2.254,8.407,2.535,0.619,34.787,4.518,0.13
492,sub-0609,-15.632,0.818,12.417,-15.598,0.75,10.967,4.868,0.49,37.565,3.683,0.496
493,sub-0610,-5.014,0.47,9.412,-5.004,0.463,5.123,7.563,0.856,51.947,8.749,0.611
494,sub-0611,12.761,7.223,19.214,12.71,7.173,12.99,12.95,0.454,112.383,2.68,2.296
495,sub-0612,-17.373,2.821,13.771,-17.3,2.812,13.183,3.864,0.277,56.307,3.449,0.724
496,sub-0613,-24.956,-2.973,4.909,-25.077,-2.995,2.729,8.642,0.364,36.169,1.143,1.902
497,sub-0614,4.277,8.192,14.576,4.276,8.185,8.303,11.868,0.946,93.961,13.777,0.588
498,sub-0615,3.814,-0.389,25.514,3.792,-0.455,24.885,7.442,0.672,92.996,14.537,0.204
499,sub-0616,-3.025,2.397,7.131,-3.001,2.393,5.565,3.904,0.905,58.676,10.216,0.356
500,sub-0617,2.25,1.083,10.176,2.253,1.095,8.347,4.962,0.961,97.654,16.588,0.296
501,sub-0619,-19.956,0.058,8.939,-19.968,0.076,5.34,6.517,0.576,41.761,2.014,0.671
502,sub-0620,-0.649,1.964,10.584,-0.66,1.955,8.999,4.679,0.981,78.982,18.692,0.339
503,sub-0621,-13.132,7.385,14.639,-13.13,7.431,13.039,5.887,0.64,44.551,5.396,0.261
504,sub-0622,-21.147,0.875,11.373,-21.163,0.893,10.237,4.446,0.417,53.638,3.249,0.709
505,sub-0623,-18.535,-0.963,16.569,-18.531,-0.934,15.644,4.202,0.264,56.349,3.679,0.692
506,sub-0624,-11.888,-1.178,15.86,-11.833,-1.189,14.321,5.781,0.527,43.043,4.247,0.445
507,sub-0625,-9.769,-3.495,9.976,-9.63,-3.5,6.278,6.819,0.448,40.267,1.734,1.356
508,sub-0626,-23.476,-1.576,18.844,-23.481,-1.575,18.655,2.198,0.171,47.009,3.584,0.117
509,sub-0627,8.41,3.099,4.897,8.439,3.183,2.484,4.449,0.75,112.262,2.225,0.7
510,sub-0628,-7.659,-1.917,15.043,-7.732,-1.851,12.788,6.561,0.348,64.2,2.784,2.405
511,sub-0629,-15.687,0.622,15.438,-15.686,0.653,13.636,6.297,0.456,46.197,3.965,0.779
512,sub-0630,-11.634,2.668,16.077,-11.645,2.674,9.559,12.484,0.158,66.531,0.949,6.347
513,sub-0631,-6.886,-6.763,8.696,-6.947,-6.738,4.852,6.697,0.665,44.811,2.851,0.96
514,sub-0632,4.49,-2.068,24.89,4.658,0.347,15.842,26.419,0.963,88.148,15.575,0.575
515,sub-0633,-3.538,2.375,7.743,-3.342,2.549,3.935,11.49,0.919,74.266,13.865,0.911
516,sub-0638,-10.07,-9.538,22.769,-10.103,-9.589,19.223,12.162,0.834,52.811,12.143,0.248
517,sub-0639,-7.703,1.076,9.55,-7.768,1.077,6.635,5.926,0.622,49.894,3.389,1.095
